Date; Open; High; Low; Close; Volume
30/12/2021;7350;7350;7300;7300;499546990
03/01/2022;7325;7400;7300;7325;542873980
04/01/2022;7325;7450;7325;7400;706240000
05/01/2022;7450;7525;7375;7450;761648980
06/01/2022;7500;7525;7425;7475;636571020
07/01/2022;7550;7700;7500;7650;1434332970
10/01/2022;7575;7650;7550;7600;453518980
11/01/2022;7650;7700;7625;7700;1103346020
12/01/2022;7700;7700;7650;7700;626060000
13/01/2022;7700;7750;7650;7700;500251990
14/01/2022;7700;7850;7650;7850;658987030
17/01/2022;7900;7900;7700;7750;639026020
18/01/2022;7775;7775;7550;7675;714763050
19/01/2022;7650;7725;7575;7675;603896990
20/01/2022;7725;7775;7625;7775;599255000
21/01/2022;7775;7950;7700;7950;633705000
24/01/2022;7825;7850;7775;7800;402783010
25/01/2022;7675;7775;7625;7775;1067968980
26/01/2022;7700;7750;7650;7700;533501990
27/01/2022;7625;7800;7625;7800;719451020
28/01/2022;7800;7825;7700;7775;705950000
31/01/2022;7775;7775;7625;7625;681220000
02/02/2022;7775;7800;7675;7800;653081020
03/02/2022;7800;7825;7700;7725;351006020
04/02/2022;7750;7800;7700;7725;393246990
07/02/2022;7775;7800;7700;7800;568131990
08/02/2022;7750;7850;7725;7725;618831020
09/02/2022;7850;7950;7800;7950;1089222030
10/02/2022;7950;7950;7750;7750;932770000
11/02/2022;7675;7825;7650;7825;719687970
14/02/2022;7750;7775;7700;7700;577106990
15/02/2022;7750;7875;7725;7875;556170000
16/02/2022;7850;7975;7825;7975;770551020
17/02/2022;7850;7925;7800;7900;487046020
18/02/2022;7950;7950;7850;7925;568133980
21/02/2022;7925;7975;7900;7950;438216990
22/02/2022;7900;7950;7850;7900;800955080
23/02/2022;7900;8100;7875;8050;992403050
24/02/2022;8125;8150;7925;8000;1249476950
25/02/2022;7950;8175;7925;8050;1358999060
01/03/2022;8000;8175;8000;8050;1366167970
02/03/2022;8225;8225;7975;7975;1003010000
04/03/2022;7975;8025;7900;7900;1329834060
07/03/2022;7800;7850;7700;7700;1309908980
08/03/2022;7700;7850;7650;7650;1192564920
09/03/2022;7700;7950;7650;7850;1328145000
10/03/2022;7925;7975;7800;7925;864840000
11/03/2022;7725;7950;7725;7950;610538980
14/03/2022;8050;8100;7950;8075;784320940
15/03/2022;8150;8200;8075;8150;1112144920
16/03/2022;8275;8275;8075;8200;1497612970
17/03/2022;8300;8300;8000;8000;1324394060
18/03/2022;8000;8100;7900;7900;1439817030
21/03/2022;7800;7950;7800;7900;854855080
22/03/2022;7900;7950;7875;7925;600108980
23/03/2022;7925;7950;7825;7900;822080000
24/03/2022;7850;7950;7800;7925;952451020
25/03/2022;7900;7950;7900;7950;851012030
28/03/2022;7825;7900;7800;7900;839115080
29/03/2022;7875;7900;7825;7850;621806020
30/03/2022;7900;7900;7825;7875;714306020
31/03/2022;7925;8000;7875;7975;1126919060
01/04/2022;8075;8075;7850;7925;1055753980
04/04/2022;7925;7925;7825;7900;573211990
05/04/2022;7900;7900;7850;7900;485283010
06/04/2022;7825;7850;7750;7750;1192630000
07/04/2022;7725;7825;7700;7750;686193980
08/04/2022;7800;7875;7775;7850;697916020
11/04/2022;7825;7875;7725;7725;627761990
12/04/2022;7725;7800;7700;7800;734712970
13/04/2022;7800;7850;7750;7800;576221020
14/04/2022;7800;7800;7700;7700;933428980
18/04/2022;7700;7725;7625;7700;684647030
19/04/2022;7700;7700;7625;7625;986320000
20/04/2022;7725;7725;7625;7650;1243887970
21/04/2022;7800;7925;7750;7925;1293233980
22/04/2022;7850;7925;7800;7875;859560940
25/04/2022;7875;8000;7825;8000;912796020
26/04/2022;7925;8125;7925;8125;1283608980
27/04/2022;8075;8200;8075;8200;894631020
28/04/2022;8250;8250;8075;8125;1337305940
09/05/2022;7875;7900;7600;7600;4567965940
10/05/2022;7250;7600;7250;7525;2684456880
11/05/2022;7525;7700;7450;7650;1565352030
12/05/2022;7525;7550;7275;7275;2405295940
13/05/2022;7250;7475;7250;7325;2129686090
17/05/2022;7275;7475;7275;7400;1596575940
18/05/2022;7500;7575;7375;7575;1535142970
19/05/2022;7400;7475;7375;7450;1409088910
20/05/2022;7425;7475;7400;7400;865202030
23/05/2022;7450;7475;7350;7375;716035080
24/05/2022;7325;7475;7325;7350;1087107970
25/05/2022;7400;7450;7350;7375;767473980
27/05/2022;7525;7575;7475;7575;843368980
30/05/2022;7575;7600;7475;7575;1054113980
31/05/2022;7600;7750;7525;7750;2862927190
